experiment_id,num_pods,num_skus,num_robots,num_workstations,num_skus_per_pod,grid_rows,grid_cols,robot_speed,ws_order_capacity,ws_workload_capacity,prob_1_item_order,geo_dist_param,initial_backlog_size,interarrival_time,time_horizon,delta_t_opt,pod_process_time,item_process_time,warm_up

11,300,3000,20,4,30,15,20,0.34,4,10,0.5,0.7,200,9,3600,900,5,5,0
12,300,3000,20,4,30,15,20,0.34,4,10,0.4,0.5,200,9,3600,900,5,5,0
13,300,3000,20,4,30,15,20,0.34,4,10,0.5,0.7,200,6,3600,900,5,5,0
14,300,3000,20,4,30,15,20,0.34,4,10,0.4,0.5,200,6,3600,900,5,5,0

31,600,5000,30,6,30,25,24,0.34,4,10,0.5,0.7,200,9,3600,900,5,5,0
32,600,5000,30,6,30,25,24,0.34,4,10,0.4,0.5,200,9,3600,900,5,5,0
33,600,5000,30,6,30,25,24,0.34,4,10,0.5,0.7,200,6,3600,900,5,5,0
34,600,5000,30,6,30,25,24,0.34,4,10,0.4,0.5,200,6,3600,900,5,5,0

51,900,10000,40,9,30,30,30,0.34,4,10,0.5,0.7,200,9,3600,900,5,5,0
52,900,10000,40,9,30,30,30,0.34,4,10,0.4,0.5,200,9,3600,900,5,5,0
53,900,10000,40,9,30,30,30,0.34,4,10,0.5,0.7,200,6,3600,900,5,5,0
54,900,10000,40,9,30,30,30,0.34,4,10,0.4,0.5,200,6,3600,900,5,5,0


0,50,500,5,3,30,5,10,0.34,4,10,0.5,0.7,50,9,2,900,5,5,0
